text,language,sentiment_label,toxicity_label
Sample Tamil text. excellent,Tamil,1,0
Sample Marathi text. worst,Marathi,0,0
Sample English text. sad,English,0,0
Sample Telugu text. disappointing,Telugu,0,0
Sample Bengali text. good,Bengali,1,0
Sample English text. super,English,1,0
Sample Odia text. great,Odia,1,0
Sample Bengali text. terrible,Bengali,0,0
Sample Odia text. terrible,Odia,0,0
Sample Tamil text. great,Tamil,1,0
Sample Kannada text. awesome,Kannada,1,0
Sample Malayalam text. super,Malayalam,1,0
Sample Telugu text. sad,Telugu,0,0
Sample Tamil text. idiot,Tamil,0,1
Sample Marathi text. good,Marathi,1,0
Sample Hindi text. fool,Hindi,0,1
Sample Assamese text. jerk,Assamese,0,1
Sample Hindi text. sad,Hindi,0,0
Sample Marathi text. bad,Marathi,0,0
Sample Bengali text. super,Bengali,1,0
Sample Telugu text. worst,Telugu,0,0
Sample Malayalam text. worst,Malayalam,0,0
Sample Tamil text. awesome,Tamil,1,0
Sample English text. nice,English,1,0
Sample Odia text. terrible,Odia,0,0
Sample English text. bad,English,0,0
Sample Malayalam text. super,Malayalam,1,0
Sample Odia text. bad,Odia,0,0
Sample English text. awesome,English,1,0
Sample Tamil text. super,Tamil,1,0
Sample Assamese text. nice,Assamese,1,0
Sample Marathi text. awesome,Marathi,1,0
Sample Urdu text. worst,Urdu,0,0
Sample Bengali text. bad,Bengali,0,0
Sample Telugu text. great,Telugu,1,0
Sample Urdu text. sad,Urdu,0,0
Sample Marathi text. great,Marathi,1,0
Sample Tamil text. bad,Tamil,0,0
Sample Kannada text. disappointing,Kannada,0,0
Sample Punjabi text. stupid,Punjabi,0,1
Sample Assamese text. great,Assamese,1,0
Sample Urdu text. bad,Urdu,0,0
Sample Malayalam text. worst,Malayalam,0,0
Sample English text. bad,English,0,0
Sample Malayalam text. nice,Malayalam,1,0
Sample Marathi text. worst,Marathi,0,0
Sample Bengali text. disappointing,Bengali,0,0
Sample Punjabi text. bad,Punjabi,0,0
Sample Hindi text. bad,Hindi,0,0
Sample Punjabi text. dumb,Punjabi,0,1
Sample Malayalam text. terrible,Malayalam,0,0
Sample Bengali text. disappointing,Bengali,0,0
Sample Urdu text. awesome,Urdu,1,0
Sample Gujarati text. fool,Gujarati,0,1
Sample Punjabi text. fool,Punjabi,0,1
Sample Tamil text. bad,Tamil,0,0
Sample Urdu text. terrible,Urdu,0,0
Sample Assamese text. excellent,Assamese,1,0
Sample Kannada text. nice,Kannada,1,0
Sample Hindi text. dumb,Hindi,0,1
Sample Urdu text. awesome,Urdu,1,0
Sample Kannada text. worst,Kannada,0,0
Sample Malayalam text. dumb,Malayalam,0,1
Sample Punjabi text. worst,Punjabi,0,0
Sample Hindi text. bad,Hindi,0,0
Sample Bengali text. terrible,Bengali,0,0
Sample Telugu text. bad,Telugu,0,0
Sample Telugu text. worst,Telugu,0,0
Sample Kannada text. super,Kannada,1,0
Sample Punjabi text. disappointing,Punjabi,0,0
Sample Odia text. great,Odia,1,0
Sample Urdu text. great,Urdu,1,0
Sample Kannada text. fool,Kannada,0,1
Sample Kannada text. worst,Kannada,0,0
Sample Kannada text. terrible,Kannada,0,0
Sample Hindi text. stupid,Hindi,0,1
Sample Punjabi text. terrible,Punjabi,0,0
Sample Urdu text. disappointing,Urdu,0,0
Sample Telugu text. disappointing,Telugu,0,0
Sample Tamil text. great,Tamil,1,0
Sample Odia text. good,Odia,1,0
Sample Odia text. sad,Odia,0,0
Sample Gujarati text. worst,Gujarati,0,0
Sample Bengali text. excellent,Bengali,1,0
Sample Malayalam text. worst,Malayalam,0,0
Sample Malayalam text. disappointing,Malayalam,0,0
Sample Telugu text. awesome,Telugu,1,0
Sample Telugu text. worst,Telugu,0,0
Sample Hindi text. bad,Hindi,0,0
Sample Hindi text. excellent,Hindi,1,0
Sample Gujarati text. excellent,Gujarati,1,0
Sample Malayalam text. jerk,Malayalam,0,1
Sample Marathi text. terrible,Marathi,0,0
Sample Malayalam text. sad,Malayalam,0,0
Sample Punjabi text. fool,Punjabi,0,1
Sample Gujarati text. dumb,Gujarati,0,1
Sample Malayalam text. nice,Malayalam,1,0
Sample English text. good,English,1,0
Sample Assamese text. idiot,Assamese,0,1
Sample Gujarati text. nice,Gujarati,1,0
Sample Urdu text. sad,Urdu,0,0
Sample Punjabi text. sad,Punjabi,0,0
Sample Gujarati text. nice,Gujarati,1,0
Sample Hindi text. super,Hindi,1,0
Sample English text. jerk,English,0,1
Sample Tamil text. worst,Tamil,0,0
Sample English text. bad,English,0,0
Sample Odia text. fool,Odia,0,1
Sample Urdu text. sad,Urdu,0,0
Sample Bengali text. idiot,Bengali,0,1
Sample Odia text. disappointing,Odia,0,0
Sample Marathi text. great,Marathi,1,0
Sample Odia text. sad,Odia,0,0
Sample Telugu text. sad,Telugu,0,0
Sample Assamese text. bad,Assamese,0,0
Sample Hindi text. disappointing,Hindi,0,0
Sample Kannada text. sad,Kannada,0,0
Sample Telugu text. worst,Telugu,0,0
Sample Punjabi text. super,Punjabi,1,0
Sample Marathi text. nice,Marathi,1,0
Sample Malayalam text. dumb,Malayalam,0,1
Sample Tamil text. good,Tamil,1,0
Sample Kannada text. stupid,Kannada,0,1
Sample Bengali text. great,Bengali,1,0
Sample Hindi text. idiot,Hindi,0,1
Sample Urdu text. terrible,Urdu,0,0
Sample Telugu text. worst,Telugu,0,0
Sample Odia text. sad,Odia,0,0
Sample Telugu text. fool,Telugu,0,1
Sample Bengali text. nice,Bengali,1,0
Sample Malayalam text. sad,Malayalam,0,0
Sample Malayalam text. awesome,Malayalam,1,0
Sample Urdu text. dumb,Urdu,0,1
Sample Hindi text. worst,Hindi,0,0
Sample Assamese text. jerk,Assamese,0,1
Sample Gujarati text. nice,Gujarati,1,0
Sample Marathi text. sad,Marathi,0,0
Sample Hindi text. bad,Hindi,0,0
Sample Assamese text. super,Assamese,1,0
Sample Tamil text. jerk,Tamil,0,1
Sample Hindi text. fool,Hindi,0,1
Sample Hindi text. worst,Hindi,0,0
Sample Marathi text. awesome,Marathi,1,0
Sample Marathi text. sad,Marathi,0,0
Sample Punjabi text. nice,Punjabi,1,0
Sample Urdu text. bad,Urdu,0,0
Sample Tamil text. stupid,Tamil,0,1
Sample Urdu text. disappointing,Urdu,0,0
Sample Marathi text. bad,Marathi,0,0
Sample Tamil text. nice,Tamil,1,0
Sample Tamil text. great,Tamil,1,0
Sample Odia text. idiot,Odia,0,1
Sample Kannada text. good,Kannada,1,0
Sample Kannada text. jerk,Kannada,0,1
Sample Urdu text. great,Urdu,1,0
Sample Kannada text. good,Kannada,1,0
Sample Assamese text. worst,Assamese,0,0
Sample Malayalam text. stupid,Malayalam,0,1
Sample Kannada text. nice,Kannada,1,0
Sample Malayalam text. good,Malayalam,1,0
Sample Malayalam text. bad,Malayalam,0,0
Sample Telugu text. jerk,Telugu,0,1
Sample Gujarati text. stupid,Gujarati,0,1
Sample English text. idiot,English,0,1
Sample Kannada text. super,Kannada,1,0
Sample English text. awesome,English,1,0
Sample Telugu text. awesome,Telugu,1,0
Sample Assamese text. nice,Assamese,1,0
Sample Urdu text. worst,Urdu,0,0
Sample Assamese text. terrible,Assamese,0,0
Sample Urdu text. terrible,Urdu,0,0
Sample Marathi text. disappointing,Marathi,0,0
Sample Telugu text. sad,Telugu,0,0
Sample English text. excellent,English,1,0
Sample Tamil text. idiot,Tamil,0,1
Sample Urdu text. worst,Urdu,0,0
Sample Malayalam text. awesome,Malayalam,1,0
Sample Odia text. dumb,Odia,0,1
Sample Malayalam text. bad,Malayalam,0,0
Sample Telugu text. fool,Telugu,0,1
Sample Odia text. disappointing,Odia,0,0
Sample Tamil text. good,Tamil,1,0
Sample Hindi text. dumb,Hindi,0,1
Sample English text. sad,English,0,0
Sample Hindi text. super,Hindi,1,0
Sample Telugu text. worst,Telugu,0,0
Sample Assamese text. disappointing,Assamese,0,0
Sample Punjabi text. good,Punjabi,1,0
Sample Malayalam text. disappointing,Malayalam,0,0
Sample Marathi text. bad,Marathi,0,0
Sample Punjabi text. nice,Punjabi,1,0
Sample Assamese text. dumb,Assamese,0,1
Sample Assamese text. super,Assamese,1,0
Sample Telugu text. super,Telugu,1,0
Sample Malayalam text. great,Malayalam,1,0
Sample English text. disappointing,English,0,0
Sample English text. worst,English,0,0
Sample Gujarati text. super,Gujarati,1,0
Sample Kannada text. great,Kannada,1,0
Sample English text. awesome,English,1,0
Sample Telugu text. terrible,Telugu,0,0
Sample Urdu text. great,Urdu,1,0
Sample Punjabi text. terrible,Punjabi,0,0
Sample Telugu text. bad,Telugu,0,0
Sample Tamil text. idiot,Tamil,0,1
Sample English text. worst,English,0,0
Sample Bengali text. disappointing,Bengali,0,0
Sample English text. idiot,English,0,1
Sample Kannada text. super,Kannada,1,0
Sample Odia text. worst,Odia,0,0
Sample Telugu text. excellent,Telugu,1,0
Sample Odia text. awesome,Odia,1,0
Sample Tamil text. nice,Tamil,1,0
Sample Bengali text. awesome,Bengali,1,0
Sample Hindi text. idiot,Hindi,0,1
Sample Marathi text. terrible,Marathi,0,0
Sample Kannada text. super,Kannada,1,0
Sample Hindi text. terrible,Hindi,0,0
Sample Malayalam text. disappointing,Malayalam,0,0
Sample Hindi text. idiot,Hindi,0,1
Sample Tamil text. awesome,Tamil,1,0
Sample Marathi text. dumb,Marathi,0,1
Sample Bengali text. sad,Bengali,0,0
Sample Gujarati text. worst,Gujarati,0,0
Sample Marathi text. disappointing,Marathi,0,0
Sample Punjabi text. nice,Punjabi,1,0
Sample Urdu text. excellent,Urdu,1,0
Sample Tamil text. bad,Tamil,0,0
Sample Gujarati text. terrible,Gujarati,0,0
Sample Urdu text. terrible,Urdu,0,0
Sample Marathi text. bad,Marathi,0,0
Sample Punjabi text. awesome,Punjabi,1,0
Sample Assamese text. disappointing,Assamese,0,0
Sample English text. worst,English,0,0
Sample Gujarati text. worst,Gujarati,0,0
Sample Odia text. worst,Odia,0,0
Sample Tamil text. great,Tamil,1,0
Sample Odia text. good,Odia,1,0
Sample Malayalam text. jerk,Malayalam,0,1
Sample Urdu text. excellent,Urdu,1,0
Sample Odia text. fool,Odia,0,1
Sample Kannada text. idiot,Kannada,0,1
Sample Assamese text. idiot,Assamese,0,1
Sample Bengali text. stupid,Bengali,0,1
Sample Punjabi text. good,Punjabi,1,0
Sample Assamese text. great,Assamese,1,0
Sample Malayalam text. stupid,Malayalam,0,1
Sample Assamese text. fool,Assamese,0,1
Sample Tamil text. bad,Tamil,0,0
Sample English text. nice,English,1,0
Sample Punjabi text. worst,Punjabi,0,0
Sample English text. terrible,English,0,0
Sample Marathi text. good,Marathi,1,0
Sample Punjabi text. good,Punjabi,1,0
Sample Kannada text. jerk,Kannada,0,1
Sample Urdu text. super,Urdu,1,0
Sample Hindi text. sad,Hindi,0,0
Sample Tamil text. great,Tamil,1,0
Sample Malayalam text. dumb,Malayalam,0,1
Sample Telugu text. terrible,Telugu,0,0
Sample Urdu text. super,Urdu,1,0
Sample Punjabi text. super,Punjabi,1,0
Sample Marathi text. worst,Marathi,0,0
Sample Bengali text. nice,Bengali,1,0
Sample English text. fool,English,0,1
Sample Tamil text. good,Tamil,1,0
Sample Gujarati text. good,Gujarati,1,0
Sample English text. excellent,English,1,0
Sample Telugu text. good,Telugu,1,0
Sample Tamil text. worst,Tamil,0,0
Sample Gujarati text. sad,Gujarati,0,0
Sample Bengali text. terrible,Bengali,0,0
Sample Hindi text. sad,Hindi,0,0
Sample Malayalam text. worst,Malayalam,0,0
Sample Assamese text. sad,Assamese,0,0
Sample Bengali text. sad,Bengali,0,0
Sample Punjabi text. worst,Punjabi,0,0
Sample Odia text. sad,Odia,0,0
Sample English text. excellent,English,1,0
Sample Marathi text. disappointing,Marathi,0,0
Sample Bengali text. terrible,Bengali,0,0
Sample Hindi text. super,Hindi,1,0
Sample Telugu text. super,Telugu,1,0
Sample Assamese text. fool,Assamese,0,1
Sample Gujarati text. great,Gujarati,1,0
Sample Marathi text. disappointing,Marathi,0,0
Sample English text. sad,English,0,0
Sample Malayalam text. jerk,Malayalam,0,1
Sample Marathi text. great,Marathi,1,0
Sample Bengali text. idiot,Bengali,0,1
Sample English text. terrible,English,0,0
Sample Hindi text. excellent,Hindi,1,0
Sample Malayalam text. worst,Malayalam,0,0
Sample Urdu text. disappointing,Urdu,0,0
Sample Marathi text. sad,Marathi,0,0
Sample Bengali text. good,Bengali,1,0
Sample Hindi text. jerk,Hindi,0,1
Sample Assamese text. excellent,Assamese,1,0
Sample Hindi text. super,Hindi,1,0
Sample Gujarati text. fool,Gujarati,0,1
Sample Marathi text. nice,Marathi,1,0
Sample Tamil text. bad,Tamil,0,0
Sample Odia text. stupid,Odia,0,1
Sample Assamese text. bad,Assamese,0,0
Sample Assamese text. dumb,Assamese,0,1
Sample Marathi text. fool,Marathi,0,1
Sample Telugu text. awesome,Telugu,1,0
Sample Malayalam text. great,Malayalam,1,0
Sample Bengali text. great,Bengali,1,0
Sample Malayalam text. bad,Malayalam,0,0
Sample Assamese text. great,Assamese,1,0
Sample English text. dumb,English,0,1
Sample Assamese text. disappointing,Assamese,0,0
Sample Tamil text. idiot,Tamil,0,1
Sample Odia text. excellent,Odia,1,0
Sample Assamese text. worst,Assamese,0,0
Sample Urdu text. sad,Urdu,0,0
Sample Kannada text. super,Kannada,1,0
Sample Telugu text. worst,Telugu,0,0
Sample Bengali text. great,Bengali,1,0
Sample Gujarati text. bad,Gujarati,0,0
Sample Marathi text. awesome,Marathi,1,0
Sample Urdu text. worst,Urdu,0,0
Sample Assamese text. sad,Assamese,0,0
Sample Telugu text. awesome,Telugu,1,0
Sample Punjabi text. excellent,Punjabi,1,0
Sample Tamil text. good,Tamil,1,0
Sample Bengali text. bad,Bengali,0,0
Sample Punjabi text. dumb,Punjabi,0,1
Sample Marathi text. awesome,Marathi,1,0
Sample Marathi text. nice,Marathi,1,0
Sample Urdu text. bad,Urdu,0,0
Sample Tamil text. excellent,Tamil,1,0
Sample Marathi text. great,Marathi,1,0
Sample Gujarati text. great,Gujarati,1,0
Sample Malayalam text. disappointing,Malayalam,0,0
Sample Tamil text. awesome,Tamil,1,0
Sample Gujarati text. awesome,Gujarati,1,0
Sample Gujarati text. worst,Gujarati,0,0
Sample Malayalam text. worst,Malayalam,0,0
Sample Urdu text. excellent,Urdu,1,0
Sample Bengali text. disappointing,Bengali,0,0
Sample Gujarati text. bad,Gujarati,0,0
Sample Odia text. disappointing,Odia,0,0
Sample Odia text. sad,Odia,0,0
Sample English text. terrible,English,0,0
Sample Hindi text. bad,Hindi,0,0
Sample Marathi text. sad,Marathi,0,0
Sample Bengali text. nice,Bengali,1,0
Sample Odia text. great,Odia,1,0
Sample Telugu text. nice,Telugu,1,0
Sample Hindi text. jerk,Hindi,0,1
Sample Bengali text. good,Bengali,1,0
Sample Assamese text. nice,Assamese,1,0
Sample Bengali text. dumb,Bengali,0,1
Sample Tamil text. awesome,Tamil,1,0
Sample Hindi text. idiot,Hindi,0,1
Sample Bengali text. nice,Bengali,1,0
Sample Odia text. excellent,Odia,1,0
Sample Urdu text. bad,Urdu,0,0
Sample Kannada text. fool,Kannada,0,1
Sample Odia text. idiot,Odia,0,1
Sample Punjabi text. excellent,Punjabi,1,0
Sample Punjabi text. disappointing,Punjabi,0,0
Sample Assamese text. awesome,Assamese,1,0
Sample Marathi text. stupid,Marathi,0,1
Sample Tamil text. nice,Tamil,1,0
Sample Gujarati text. nice,Gujarati,1,0
Sample Punjabi text. jerk,Punjabi,0,1
Sample Marathi text. sad,Marathi,0,0
Sample Gujarati text. stupid,Gujarati,0,1
Sample Tamil text. fool,Tamil,0,1
Sample Malayalam text. dumb,Malayalam,0,1
Sample Kannada text. worst,Kannada,0,0
Sample Bengali text. dumb,Bengali,0,1
Sample Punjabi text. sad,Punjabi,0,0
Sample Kannada text. excellent,Kannada,1,0
Sample Marathi text. fool,Marathi,0,1
Sample Malayalam text. good,Malayalam,1,0
Sample Assamese text. super,Assamese,1,0
Sample Punjabi text. idiot,Punjabi,0,1
Sample Kannada text. awesome,Kannada,1,0
Sample English text. disappointing,English,0,0
Sample Telugu text. idiot,Telugu,0,1
Sample Punjabi text. dumb,Punjabi,0,1
Sample Urdu text. good,Urdu,1,0
Sample Malayalam text. idiot,Malayalam,0,1
Sample Hindi text. jerk,Hindi,0,1
Sample Malayalam text. good,Malayalam,1,0
Sample Odia text. terrible,Odia,0,0
Sample Telugu text. awesome,Telugu,1,0
Sample Telugu text. disappointing,Telugu,0,0
Sample English text. great,English,1,0
Sample Kannada text. nice,Kannada,1,0
Sample Malayalam text. fool,Malayalam,0,1
Sample Assamese text. good,Assamese,1,0
Sample Marathi text. sad,Marathi,0,0
Sample Gujarati text. nice,Gujarati,1,0
Sample Telugu text. dumb,Telugu,0,1
Sample Assamese text. disappointing,Assamese,0,0
Sample Bengali text. idiot,Bengali,0,1
Sample Telugu text. stupid,Telugu,0,1
Sample Malayalam text. sad,Malayalam,0,0
Sample Bengali text. super,Bengali,1,0
Sample Bengali text. disappointing,Bengali,0,0
Sample Punjabi text. sad,Punjabi,0,0
Sample English text. stupid,English,0,1
Sample Hindi text. stupid,Hindi,0,1
Sample Bengali text. dumb,Bengali,0,1
Sample Kannada text. terrible,Kannada,0,0
Sample Urdu text. nice,Urdu,1,0
Sample Urdu text. disappointing,Urdu,0,0
Sample Assamese text. good,Assamese,1,0
Sample Urdu text. bad,Urdu,0,0
Sample Hindi text. disappointing,Hindi,0,0
Sample Tamil text. disappointing,Tamil,0,0
Sample Kannada text. sad,Kannada,0,0
Sample Odia text. good,Odia,1,0
Sample Assamese text. nice,Assamese,1,0
Sample Malayalam text. worst,Malayalam,0,0
Sample Telugu text. worst,Telugu,0,0
Sample Telugu text. terrible,Telugu,0,0
Sample Odia text. awesome,Odia,1,0
Sample Telugu text. excellent,Telugu,1,0
Sample Odia text. excellent,Odia,1,0
Sample Odia text. excellent,Odia,1,0
Sample Malayalam text. bad,Malayalam,0,0
Sample Bengali text. good,Bengali,1,0
